OBJECTID,DATA_DATE,ROUTE_COMMON_NAME,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,AAWDT,AAWDT_QUALITY_CODE,FROM_JURISDICTION,TO_JURISDICTION,ROUTE_NAME,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,LINK_ID,Shape__Length
53543,2019/01/01 00:00:00+00,US-29N,WCL Fairfax,Jermantown Rd,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,41000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627020,312.6166157
53544,2019/01/01 00:00:00+00,US-29N,Jermantown Rd,US 50; SR 236 Main St,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,40000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627021,891.9991565
53546,2019/01/01 00:00:00+00,US-29N,US 50; SR 236 Main St,SR 123 Chain Bridge Rd,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,40000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627022,2017.743333
53568,2019/01/01 00:00:00+00,US-29N,SR 123 Chain Bridge Rd,University Dr,35000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,38000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627023,438.748594
53569,2019/01/01 00:00:00+00,US-29N,University Dr,Plantation Parkway,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,41000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627024,1199.434983
53571,2019/01/01 00:00:00+00,US-29N,Plantation Parkway,Draper Drive,38000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,41000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627025,1396.921651
53573,2019/01/01 00:00:00+00,US-29N,Draper Drive,US 50,35000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,38000,G,City of Fairfax,City of Fairfax,R-VA   US00029NB,Northern Virginia,Northern Virginia,US,627026,558.382254
53931,2019/01/01 00:00:00+00,VA-123N,SCL Fairfax,Judicial Dr,28000,G,97.80831,0.28679,0.43284,0.55972,0.91349,0.00059,F,30000,G,City of Fairfax,City of Fairfax,R-VA   SR00123NB,Northern Virginia,Northern Virginia,SR,627005,959.9847182
53933,2019/01/01 00:00:00+00,VA-123N,Judicial Dr,SR 236 Main St,22000,G,97.80831,0.28679,0.43284,0.55972,0.91349,0.00059,F,23000,G,City of Fairfax,City of Fairfax,R-VA   SR00123NB,Northern Virginia,Northern Virginia,SR,627006,555.0382794
54097,2019/01/01 00:00:00+00,VA-123N,SR 236 Main St,Whitehead St,22000,G,97.80831,0.28679,0.43284,0.55972,0.91349,0.00059,F,24000,G,City of Fairfax,City of Fairfax,R-VA   SR00123NB,Northern Virginia,Northern Virginia,SR,627007,400.4093958
54098,2019/01/01 00:00:00+00,VA-123N,Whitehead St,Kenmore Dr,20000,G,97.80831,0.28679,0.43284,0.55972,0.91349,0.00059,F,22000,G,City of Fairfax,City of Fairfax,R-VA   SR00123NB,Northern Virginia,Northern Virginia,SR,627008,344.3197165
54456,2019/01/01 00:00:00+00,US-29S,US 50 Fairfax Circle,ECL Fairfax,34000,N,97.80705,0.41046,0.98312,0.48343,0.31843,0,F,,N,City of Fairfax,City of Fairfax,R-VA   US00029SB,Northern Virginia,Northern Virginia,US,627049,156.6860468
54492,2019/01/01 00:00:00+00,US-29S,US 50,US 50 Fairfax Circle,35000,N,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,38000,N,City of Fairfax,City of Fairfax,R-VA   US00029SB,Northern Virginia,Northern Virginia,US,627050,207.0412856
54694,2019/01/01 00:00:00+00,US-29S,WCL Fairfax,Jermantown Rd,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,41000,G,City of Fairfax,City of Fairfax,R-VA   US00029SB,Northern Virginia,Northern Virginia,US,627020,323.8098289
54696,2019/01/01 00:00:00+00,US-29S,Jermantown Rd,US 50; SR 236 Main St,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,40000,G,City of Fairfax,City of Fairfax,R-VA   US00029SB,Northern Virginia,Northern Virginia,US,627021,904.5616475
54698,2019/01/01 00:00:00+00,US-29S,US 50; SR 236 Main St,SR 123 Chain Bridge Rd,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,40000,G,City of Fairfax,City of Fairfax,R-VA   US00029SB,,,US,627022,2015.288475
54704,2019/01/01 00:00:00+00,US-29S,SR 123 Chain Bridge Rd,University Dr,35000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,38000,G,City of Fairfax,City of Fairfax,R-VA   US00029SB,,,US,627023,428.9513758
54710,2019/01/01 00:00:00+00,US-29S,University Dr,Plantation Parkway,37000,G,98.68801,0.46271,0.36234,0.33823,0.1515,0.00025,F,41000,G,City of Fairfax,City of Fairfax,R-VA   US00029SB,,,US,627024,1204.349693
